image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.827353,car,car,True
drive_022,2,5,0.708018,truck,bus,False
drive_022,3,4,0.797668,car,car,True
drive_022,4,3,0.799536,car,car,True
drive_022,5,2,0.941915,bus,van,False
drive_033,1,1,0.908085,bus,van,False
drive_033,2,3,0.6304,car,car,True
drive_033,3,7,0.868457,car,car,True
drive_033,4,4,0.407195,car,car,True
drive_033,5,9,0.57171,car,car,True
drive_033,7,5,0.449387,car,car,True
drive_033,8,2,0.906875,truck,bus,False
drive_033,9,8,0.766724,car,car,True
drive_033,10,6,0.595455,car,car,True
drive_033,11,10,0.909147,car,car,True
drive_033,12,12,0.833248,bus,van,False
drive_033,13,11,0.874525,car,car,True
drive_038,4,3,0.844012,car,car,True
drive_038,5,2,0.811529,car,car,True
drive_038,6,5,0.57689,car,bus,False
drive_038,7,8,0.735522,car,car,True
drive_038,8,12,0.873209,car,car,True
drive_038,9,11,0.912912,car,car,True
drive_038,10,10,0.814515,car,car,True
drive_038,11,6,0.78552,car,car,True
drive_038,12,7,0.782123,car,car,True
drive_038,13,13,0.80032,car,car,True
drive_038,14,14,0.716831,car,car,True
drive_038,19,9,0.917335,truck,bus,False
drive_038,20,15,0.939549,van,truck,False
drive_008,1,11,0.838327,car,car,True
drive_008,2,16,0.801858,car,car,True
drive_008,3,12,0.824118,van,truck,False
drive_008,4,4,0.892632,car,car,True
drive_008,5,6,0.750187,car,car,True
drive_008,6,3,0.807134,van,truck,False
drive_008,7,2,0.84731,car,car,True
drive_008,9,7,0.759116,car,car,True
drive_008,10,13,0.646041,car,car,True
drive_008,11,14,0.857009,car,car,True
drive_008,12,15,0.10607,car,car,True
drive_008,20,1,0.806189,truck,bus,False
drive_008,21,5,0.832988,van,truck,False
drive_008,23,9,0.940684,bus,van,False
